Series Number,Filename,Name,Description,Gender,UUID
315,maria-the -freshface,,Maria likes to believe the world is sunshine and rainbows while blowing gum,,58765d02-5ace-11ed-9b6a-0242ac120002
316,monica-the -smoker,,Monica is never found without a pipe and loves to interject in every conversation,,58765e24-5ace-11ed-9b6a-0242ac120002
317,,,,,
318,,,,,
319,,,,,
320,,,,,
,,,,,
TEAM SANDPAPER,,,,,
321, zurinft_r3c6_omunyinyi,omunyinyi,,,
322,2. zurinft_r3c7_kamau,,,,
323,3. zurinft_r3c8_mutiso,,,,
324,4. zurinft_r3c9_omondi,,,,
325,5. zurinft_r3c10_barasa,,,,
326,6. Zurinft_r4c1_mwembu,,,,
327,7.zurinft_r4c2_mbogi,,,,
328,8. zurinft_r4c3_mrosho,,,,
329,9. zurinft_r4c4-milele,,,,
330,10. zurinft_r4c5_olebon,,,,
331,11. zurinft_r4c6_chifu,,,,
332,12. zurinft_r4c7_mwangaa,,,,
333,13. zurinft_r4c8_waforte,,,,
334,14. zurinft_r4c9_kariuki,,,,
335,15. zurinft_r4c10_kenyanese,,,,
336,16. zurinft_r7c6_nyimbo,,,,
337,17. zurinft_r7c7_mathaai,,,,
338,18. zurinft_r7c8_tish,,,,
339,19. zurinft_r7c9_wamenza,,,,
340,20. zurinft_r7c10_isaya,,,,
,,,,,
TEAM RULER,,,,,
341,mansur-the-partyrider,,Mansur is the life of a party and never caught dulling.,male,78db0f29-3936-4d9c-bb90-3dbf20dba2dd
342,tola-the-businessman,,Tola loves business and owns several shops in idumota,female,1c5d5a6b-cf04-4bf9-978e-22a7e9bc5819
343,abdullahi-the-honorable,,"Popularly called ""buje budanu"" a godfather who lavishes money on young thugs",male,dd708276-445f-4483-8357-fc08e999328f
344,ojukwu-the-badguy,,Ojukwu likes to oppress and cause trouble,male,76c1eabf-15ea-446a-8426-472982c4d800
345,odunsi-the-egbonadugbo,,Odunsi loves to advise and people in the community rely on him,male,2912ab8b-5875-4277-a5c2-a0209aee90ae
346,ogogo-the-sugardaddy,,A rich oil magnate who loves to 'solve' young women's problems with his millions,male,aa575f30-04ad-45f9-a798-199465117793
347,suli-the-amalaseller,,"Suli sells amala , she is very rude, and they say thats the secret to her sweet food",female,46fd4821-04dd-4f65-9290-c130a00c4c93
348,dolapo-the-afrocentric,,Dolapo loves african prints and loves to showcase culture,female,cbab232b-5c62-4df8-867b-018a2e496cd4
349,danjuma-the-saddist,,Danjuma is a grumpy man no one likes to associate with him,male,5a42af57-186e-425b-b6b1-f72bda4911ef
350,chinedu-the-farmer,,An hardworking farmer who has 6 boys who help out on the farm,male,9e8a55d7-0d8d-465d-a628-08ddd387a2c6
351,kola-the-baldguy,,kola girls fall for his bald head and always barb it,male,c32f1757-da9c-49e8-bd79-510a42b6971a
352,bola-the-bosslady,,Bola commands boys and chill with men,female,09ff910d-a2be-49d5-8b27-b9378458701c
353,kunle-the-alienguy,,People feared kunle because of his alien's colour,male,dea2f5d8-e3ba-4d3f-9a17-0a7edfd0c100
354,segun-the-sharp,,Segun drives with caution and people love him for that,male,f9159a9c-f48d-4aee-bcc1-63c86209f806
355,ola-the-hardguy,,Ola is feared by many and he leveraged on that,male,a814fc77-bdfa-4e50-8ba8-3e4e4bcfb3c0
356,emeka-the-chief,,Crowd are always at Emeka's house and people respect him,male,195e89c8-0b6f-43ad-9a2c-d20f03439e96
357,ugochukwu-the-celeb,,Ugochukwu has many followers on social media,male,74775cda-cff4-4d21-8819-693127598eca
358,adekunle-the-yorubademon,,A womans' man with no devotion to any of them,male,5c98c2d8-3144-4e08-8a0f-9b8d7e4f5aa7
359,favour-the-fashionista,,Combining dresses is not a problem for Favour,female,19fc15c3-80fe-4d45-a2fe-be8f087d57c4
360,jane-the-slayqueen,,Jane is always found in the midst of men and loves partying,female,74775cda-cff4-4d21-8819-693127598eca
,,,,,
TEAM VBELT,,,,,
361,osas-the-ceo,osas the ceo,,Female,b10f7e42-4778-49db-820b-dabbad75504a
362,nneka-the-rainbow babe,nneka the rainbow babe,,Female,e7e20ab8-03e0-4e0a-80aa-6e193f84426e
363,temitope-the-spoilt girl,temitope the spoilt girl,,Female,10cbcbcb-754e-4175-b85d-d0c7eafa16a2
364,bekeh-the-party animal,bekeh the party animal,,Female,f0558235-3043-46e5-b26c-5bde83cc67fb
365,nana-the-tech lady,nana the tech lady,,Female,e0858913-7050-4c4a-a2a0-442a88463334
366,rofiat-the-marketer,rofiat the marketer,,Female,1e4d9bda-f6f9-4e7a-9381-bee4b074b56d
367,zarifa-the-righteous,zarifa the righteous,,Female,c6955d16-c343-46bc-9bed-c069ea8cc65a
368,modinat-the-troublesome,modinat the troublesome,,Female,49eb44e8-1117-463b-b7b3-1bcea4258362
369,amaka-our-mummy-g.o,amaka our mummy g.o,,Female,853edc40-0f9d-40c5-ba78-46067dfd7f68
370,mawusi-the-patient,mawusi the patient,,Female,ca9ddc30-141a-493d-851b-71d34f599641
371,nesta-the-difficult,nesta the difficult,,Female,fc3b7ca7-efdb-45b2-b7c9-e69107484a43
372,adaora-the-choir mistress,adaora the choir mistress,,Female,df944505-da1a-424e-88aa-b9d365bd2775
373,busayo-the-husband snatcher,busayo the husband snatcher,,Female,73c8d935-4a71-41d2-a1de-066ae8d548e6
374,wangari-the-waitress,wangari-the-waitress,,Female,4bd7a15b-cc66-4e2d-8fdb-d550f2dd645c
375,charlene-the-shy lady,charlene-the-shy lady,,Female,36539b84-ada0-43cb-92d4-30596e07a39a
376,addae-the-unretired,addae-the-unretired,,Female,ced7b53c-73de-4fc7-a652-2b17ebfe68c9
377,abena-the-slay queen,abena-the-slay queen,,Female,1e4728e1-3e45-4972-9755-4a38e784ff91
378,gasira-the-violence mama,gasira-the-violence mama,,Female,ea72337f-658f-4198-9ad6-39bc6212c20d
379,salamatou-the-exchange student,salamatou-the-exchange student,,Female,0e216fd1-d96a-4e3c-a59b-c807f772c5b3
380,nguyen-the-foreigner,nguyen-the-foreigner,,Female,0381301b-b5a3-42c1-9f73-2c43c0b8493f
,,,,,
TEAM AXE,,,,,
381,Olofi,Olofi,Olofi is the Yoruba creator god and messenger.,Male,26340cc4-e334-494e-a737-f2b4bb9bb22e
382,Amadioha,Amadioha,Amadioha is the Igbo high god of thunder.,Male,a0586a93-7aff-43cc-8282-d081b8d6fe90
383,Sango,Sango,Sango is the yoruba diety of thunder.,Male,15e1775c-74fe-4a0b-b79c-49f6b730fa89
384,Agwu,Agwu,Agwu is the Igbo deity of health and divination.,Male,311a6713-66c9-43ce-82d8-e3ce03a87a81
385,Tano,Tano,Tano is the master of the Ghana river Tano.,Male,9c34a73f-33ee-4577-aba8-0982c1656ba7
386,Anansi,Anansi,Anansi is a trickster god of stories of the Ghana people.,Male,784f0f6b-4273-4a31-88d7-2455b96c9011
387,Nyame,Nyame,Nyame is the omnipotent god of the Ghana region.,Male,f3af0bbd-0724-4696-89ff-ed67f63e6b4f
388,Obatala,Obatala,Obatala is the lord of all gods in the Yoruba land.,Male,c447c120-830e-4543-9cb3-5917ba36bce8
389,Erinle,Erinle,"Erinle is a powerful hunter of the Yoruba land.,",Male,dacbbb38-087d-4248-8085-13b619da0ef9
390,Ogun,Ogun,Ogun is the Yoruba God of iron and metal work.,Male,94c607b3-791e-40df-bd93-50926f094143
391,Abosom,Abosom,Abosom is the goddess of wisdom and knowledge of the Ghana people.,Female,b3427836-627b-41e4-a2d0-c29473448343
392,Oya,Oya,Oya is the goddess of violent storms and winds of the Yoruba people.,Female,22aaebe4-4659-44de-ab3d-c4dae11fe9f5
393,Agbala,Agbala,Agbala is the stylish goddess of the future for the Igbo region.,Female,ca720bf9-5e47-4421-b38f-bc62162ae99e
394,Njoku-ji,Njoku-ji,Njoku-ji is the goddess of new yam of the Igbo people.,Female,3b795bad-91b4-4d0e-8ed8-bccbb226fc55
395,Akonadi,Akonadi,Akonadi is the goddess of justice and prophesies of the Ghana people.,Female,2aebd094-3be5-4773-a7a0-361f6332a7d4
396,Onyame,Onyame,Onyame is the goddess of the moon of the ghana region,Female,fb148f97-d309-45a4-b902-4e066ca13f96
397,Ibeji,Ibeji,Ibeji is the goddess of balance and twin of the Yoruba people.,Female,7b210c03-5446-462d-980e-c73dbbc1e386
398,Asase-ya,Asase-ya,Asase-ya is the goddess of fertility and love of the Ghanaian people,Female,80b51092-3fbc-4d0c-8518-fc461ccb6c80
399,Yemoja,Yemoja,Yemoja is the stylish yoruba goddess of the rivers.,Female,1693b44d-96cf-4c2d-89be-9f4219c28447
400,Yemaya,Yemaya,Yemaya is the Ghana goddess of rivers and waters.,Female,9609d0f4-d9d3-4cff-aa06-a9c459fefa39
,,,,,
TEAM BOOT,,,,,
401,,,,,
402,,,,,
403,,,,,
404,,,,,
405,,,,,
406,,,,,
407,,,,,
408,,,,,
409,,,,,
410,,,,,
411,,,,,
412,,,,,
413,,,,,
414,,,,,
415,,,,,
416,,,,,
417,,,,,
418,,,,,
419,,,,,
420,,,,,
